"","taxon","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","1","temperature",0.238668826425242,0.95,0.256415861786819,1
"2","1","temp_spike",0.0218209294713543,0.95,0.0217663404440561,1
"3","1","hydropeaking",1.73267030712393e-05,0.95,1.57807294685462e-05,1
"4","1","HFE",0.0406064274419093,0.95,0.0444864267003047,1
"5","1","temperature:temp_spike",0.0123098550105272,0.95,0.0122683397064719,1
"6","1","temperature:hydropeaking",0.00216298266558004,0.95,0.00214536260083724,1
"7","1","temperature:HFE",0.0404338459174981,0.95,0.0442981161888066,1
"8","1","temp_spike:hydropeaking",0.00470255909277274,0.95,0.00467668287808889,1
"9","1","temp_spike:HFE",0.0120914047595622,0.95,0.012050274190976,1
"10","1","hydropeaking:HFE",5.8166066921072e-06,0.95,4.93605119412767e-06,1
"11","1","temperature:temp_spike:hydropeaking",0.0025941528523456,0.95,0.00257486582252835,1
"12","1","temperature:temp_spike:HFE",0.00653541240346735,0.95,0.0065049447504051,1
"13","1","temperature:hydropeaking:HFE",0.000152021750936613,0.95,0.000147345895687459,1
"14","1","temp_spike:hydropeaking:HFE",0.00365117629628214,0.95,0.00362834974366925,1
"15","1","temperature:temp_spike:hydropeaking:HFE",0.00297076258975064,0.95,0.00295013203911737,1
"16","2","temperature",0.0238791929923557,0.95,0.0238222019777896,1
"17","2","temp_spike",0.0446217989058872,0.95,0.0488659302252898,1
"18","2","hydropeaking",0.380819308233467,0.95,0.40353388939596,1
"19","2","HFE",0.0251652542089223,0.95,0.0251068419166343,1
"20","2","temperature:temp_spike",0.0905898368603424,0.95,0.0987542077890881,1
"21","2","temperature:hydropeaking",0.066932678579081,0.95,0.073136424755928,1
"22","2","temperature:HFE",0.018776210400677,0.95,0.0187253537235942,1
"23","2","temp_spike:hydropeaking",0.351770035203466,0.95,0.373797947025401,1
"24","2","temp_spike:HFE",0.229554604070059,0.95,0.246843654734096,1
"25","2","hydropeaking:HFE",0.385209481605375,0.95,0.408013367969551,1
"26","2","temperature:temp_spike:hydropeaking",0.161389804170269,0.95,0.174709156925008,1
"27","2","temperature:temp_spike:HFE",0.0269447041601235,0.95,0.0268842183206624,1
"28","2","temperature:hydropeaking:HFE",0.00909775928455381,0.95,0.00906192556038423,1
"29","2","temp_spike:hydropeaking:HFE",0.142383032640817,0.95,0.154422619813165,1
"30","2","temperature:temp_spike:hydropeaking:HFE",0.00201513972996636,0.95,0.00199812969401343,1
"31","3","temperature",0.0891877945735351,0.95,0.0972393179990714,1
"32","3","temp_spike",0.0364249130655226,0.95,0.0399219888746586,1
"33","3","hydropeaking",0.00192677628743358,0.95,0.00191016828912523,1
"34","3","HFE",0.174184037833559,0.95,0.18832217001818,1
"35","3","temperature:temp_spike",0.00888577631554851,0.95,0.00885035323799548,1
"36","3","temperature:hydropeaking",0.00663044115152682,0.95,0.0065997564130335,1
"37","3","temperature:HFE",0.055068044126851,0.95,0.0602431015620205,1
"38","3","temp_spike:hydropeaking",0.077792091801824,0.95,0.0849107623996507,1
"39","3","temp_spike:HFE",0.0614628828722936,0.95,0.0671961641627825,1
"40","3","hydropeaking:HFE",0.0709386042884925,0.95,0.077482812460115,1
"41","3","temperature:temp_spike:hydropeaking",0.00744724223486565,0.95,0.00741475512688632,1
"42","3","temperature:temp_spike:HFE",0.0173136228329251,0.95,0.01726469660184,1
"43","3","temperature:hydropeaking:HFE",0.00527234410995983,0.95,0.00524493612281458,1
"44","3","temp_spike:hydropeaking:HFE",0.0465263774965998,0.95,0.0509420005713583,1
"45","3","temperature:temp_spike:hydropeaking:HFE",0.00526443875283353,0.95,0.00523705103502196,1
"46","4","temperature",0.0513514026823186,0.95,0.0561979585506048,1
"47","4","temp_spike",0.0484570903200919,0.95,0.0530457550577082,1
"48","4","hydropeaking",0.0321701309052825,0.95,0.0352736681436418,1
"49","4","HFE",0.167062437201392,0.95,0.180749043351125,1
"50","4","temperature:temp_spike",0.0109023153158264,0.95,0.0108631765989431,1
"51","4","temperature:hydropeaking",0.00351802453014839,0.95,0.00349558852309045,1
"52","4","temperature:HFE",0.00655054417733451,0.95,0.00652004183001254,1
"53","4","temp_spike:hydropeaking",0.000748464296470361,0.95,0.000738111571791251,1
"54","4","temp_spike:HFE",0.000414335683672525,0.95,0.000406638976374254,1
"55","4","hydropeaking:HFE",0.00165971257536864,0.95,0.00164429593626528,1
"56","4","temperature:temp_spike:hydropeaking",0.00959193524754656,0.95,0.00955516379388412,1
"57","4","temperature:temp_spike:HFE",0.000428429180274339,0.95,0.000420575651681736,1
"58","4","temperature:hydropeaking:HFE",0.000456611244878162,0.95,0.00044850349717069,1
"59","4","temp_spike:hydropeaking:HFE",0.00158698213325196,0.95,0.00157190649661877,1
"60","4","temperature:temp_spike:hydropeaking:HFE",0.000561586724280552,0.95,0.000552595280081396,1
"61","5","temperature",0.0498876299431401,0.95,0.0546039865898129,1
"62","5","temp_spike",0.00105891381986275,0.95,0.00104659773127015,1
"63","5","hydropeaking",0.12783717797834,0.95,0.138845928607477,1
"64","5","HFE",0.171592304977609,0.95,0.185567342669645,1
"65","5","temperature:temp_spike",0.00258901151658899,0.95,0.00256974350072198,1
"66","5","temperature:hydropeaking",0.00286996287801507,0.95,0.00284968295038764,1
"67","5","temperature:HFE",0.00490897321947686,0.95,0.00488251485608885,1
"68","5","temp_spike:hydropeaking",2.88407523378218e-05,0.95,2.68357393019486e-05,1
"69","5","temp_spike:HFE",0.0254820994297792,0.95,0.0254233305303773,1
"70","5","hydropeaking:HFE",0.000819519252127893,0.95,0.000808685536550332,1
"71","5","temperature:temp_spike:hydropeaking",0.00821698035684765,0.95,0.00818288810065237,1
"72","5","temperature:temp_spike:HFE",0.0046082640837511,0.95,0.00458261952759766,1
"73","5","temperature:hydropeaking:HFE",0.000698222088938013,0.95,0.000688196914590998,1
"74","5","temp_spike:hydropeaking:HFE",0.0108694966741218,0.95,0.0108304414235326,1
"75","5","temperature:temp_spike:hydropeaking:HFE",0.00155025885821548,0.95,0.00153533185121175,1
